YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2001,10113,0,2,14,I-575 (SR 417),15.0,0,1,1991.0,1,0
2001,10114,2,4,21,US-84 (SR 38),167.0,0,1,1999.0,0,0
2001,10114,2,4,21,US-84 (SR 38),167.0,0,0,1990.0,0,0
2001,10115,0,4,12,SR-92,147.0,0,0,1998.0,0,0
2001,10115,0,4,12,SR-92,147.0,0,2,2000.0,0,0
2001,10115,0,4,12,SR-92,147.0,0,0,2000.0,0,0
2001,10116,0,1,8,402,33.0,0,1,1995.0,0,0
2001,10116,0,1,8,402,33.0,0,0,1998.0,0,0
2001,10117,0,3,19,139,29.0,0,0,1991.0,0,0
2001,10117,0,3,19,139,29.0,0,1,1994.0,0,0
2001,10118,0,2,15,SR-120,56.0,0,0,1994.0,0,0
2001,10118,0,2,15,SR-120,56.0,0,0,1996.0,0,0
2001,10118,0,2,15,SR-120,56.0,0,1,2000.0,0,0
2001,10119,0,1,24,US-129 (SR 15 AL),27.0,0,0,1988.0,0,0
2001,10119,0,1,24,US-129 (SR 15 AL),27.0,0,1,1997.0,0,0
2001,10119,0,1,24,US-129 (SR 15 AL),27.0,0,0,1990.0,0,0
2001,10120,0,4,7,529,44.0,0,0,1994.0,0,0
2001,10121,0,4,19,624,0.0,0,0,1997.0,0,0
2001,10121,0,4,19,624,0.0,0,1,1989.0,0,0
2001,10122,0,1,6,361,6.0,0,1,1981.0,0,0
2001,10123,0,1,18,290,55.0,0,3,1980.0,0,0
2001,10123,0,1,18,290,55.0,0,0,1996.0,0,0
2001,10124,0,5,18,I-75 (SR 401),35.0,0,1,1995.0,1,0
2001,10125,0,5,20,I-75 (SR 401),77.0,0,1,1990.0,0,0
2001,10125,0,5,20,I-75 (SR 401),77.0,0,0,1988.0,0,0
2001,10125,0,5,20,I-75 (SR 401),77.0,0,0,1989.0,0,0
2001,10126,0,3,12,US-27 (SR 1),117.0,0,1,1989.0,1,0
2001,10126,0,3,12,US-27 (SR 1),117.0,0,0,1996.0,0,0
2001,10127,0,1,17,397,1.0,0,0,1993.0,0,0
2001,10127,0,1,17,397,1.0,0,0,2000.0,0,0
2001,10127,0,1,17,397,1.0,0,0,1997.0,0,0
2001,10127,0,1,17,397,1.0,0,1,1994.0,0,0
2001,10128,0,6,21,I-285 (SR 407),247.0,0,1,1987.0,0,0
2001,10128,0,6,21,I-285 (SR 407),247.0,0,1,1992.0,0,0
2001,10128,0,6,21,I-285 (SR 407),247.0,0,0,1998.0,0,0
2001,10129,0,6,9,I-95 (SR 405),108.0,0,1,1996.0,0,0
2001,10129,0,6,9,I-95 (SR 405),108.0,0,0,2000.0,0,0
2001,10130,0,1,24,US-78 (SR 10),72.0,0,0,1993.0,0,0
2001,10130,0,1,24,US-78 (SR 10),72.0,0,1,1989.0,0,0
2001,10130,0,1,24,US-78 (SR 10),72.0,0,0,1997.0,0,0
2001,10131,0,3,14,US-27 (SR 1),70.0,0,2,1993.0,0,0
2001,10131,0,3,14,US-27 (SR 1),70.0,0,0,1988.0,0,0
2001,10132,0,6,16,US-41 (SR 7),232.0,0,0,1992.0,0,0
2001,10133,0,3,16,301,25.0,0,0,1991.0,1,2
2001,10134,1,3,12,I-75 (SR 401),119.0,0,1,1995.0,1,0
2001,10135,0,2,23,US-23 (SR 4),77.0,0,1,2000.0,0,0
2001,10136,0,6,14,SR-15,62.0,0,0,2000.0,0,0
2001,10136,0,6,14,SR-15,62.0,0,1,1989.0,1,0
2001,10137,0,7,12,283,19.0,0,1,1998.0,0,0
2001,10137,0,7,12,283,19.0,0,0,1991.0,0,0
2001,10138,1,2,18,7238,70.0,0,1,1997.0,0,0
2001,10139,0,7,16,SR-234,123.0,0,1,1984.0,0,0
2001,10139,0,7,16,SR-234,123.0,0,0,2000.0,0,0
2001,10140,0,3,14,SR-120,90.0,0,1,1994.0,0,0
2001,10141,0,1,21,1120,5.0,0,1,1990.0,0,0
2001,10142,0,3,17,US-84 (SR 38),143.0,0,0,1999.0,0,0
2001,10142,0,3,17,US-84 (SR 38),143.0,0,1,1986.0,0,0
2001,10142,0,3,17,US-84 (SR 38),143.0,0,0,1976.0,0,0
2001,10143,1,6,19,SR-25C0,10.0,0,1,1999.0,0,0
2001,10144,0,6,11,US-411 (SR 61),158.0,0,1,1999.0,0,0
2001,10145,0,4,17,US-80 (SR 26),19.0,0,1,1994.0,1,0
2001,10145,0,4,17,US-80 (SR 26),19.0,0,1,1994.0,0,0
2001,10145,0,4,17,US-80 (SR 26),19.0,0,0,1987.0,0,0
2001,10146,0,1,17,I-475,3.0,0,1,2000.0,0,0
2001,10147,0,1,2,SR-900,14.0,0,0,1987.0,0,0
2001,10147,0,1,2,SR-900,14.0,0,1,1994.0,0,0
2001,10148,0,4,15,151,6.0,0,1,1991.0,1,0
2001,10149,0,3,8,US-1 (SR 10),138.0,0,1,2000.0,0,0
2001,10150,0,1,9,SR-53,21.0,0,1,1984.0,1,0
2001,10151,0,3,6,I-85 (SR 403),1.0,0,1,1983.0,0,0
2001,10152,0,4,19,182,30.0,0,1,2000.0,0,0
2001,10153,1,2,23,SR-260,69.0,0,1,1987.0,0,0
2001,10154,0,2,11,1318,6.0,0,1,1996.0,0,0
2001,10155,0,3,17,I-20 (SR 402),81.0,0,1,1989.0,0,0
2001,10156,0,2,21,364,91.0,0,1,1995.0,0,0
2001,10157,0,1,16,705,17.0,0,0,1988.0,1,0
2001,10157,0,1,16,705,17.0,0,1,1986.0,0,0
2001,10158,0,2,1,SR-23,119.0,0,1,1984.0,1,0
2001,10159,1,3,9,464,43.0,0,1,1983.0,0,0
2001,10160,0,2,17,245,6.0,0,1,1994.0,0,0
2001,10161,0,3,23,66,12.0,0,1,1985.0,0,0
2001,10161,0,3,23,66,12.0,0,0,1999.0,0,0
2001,10162,1,2,18,STARBUCK DR,3.0,0,1,1999.0,0,0
2001,10162,1,2,18,STARBUCK DR,3.0,0,0,1996.0,0,0
2001,10163,0,1,22,SR-95,53.0,0,1,1997.0,0,0
2001,10163,0,1,22,SR-95,53.0,0,0,1991.0,1,0
2001,10164,0,4,24,SR-53,95.0,0,1,1995.0,1,0
2001,10165,0,3,10,SR-279,20.0,0,1,2000.0,0,0
2001,10166,0,3,17,16,34.0,0,0,1999.0,0,0
2001,10166,0,3,17,16,34.0,0,1,1989.0,0,0
2001,10167,0,1,15,186,45.0,0,3,1983.0,0,0
2001,10167,0,1,15,186,45.0,0,0,1998.0,0,0
2001,10168,0,2,3,I-95 (SR 405),275.0,0,1,1992.0,0,0
2001,10169,0,1,18,SR-382,81.0,0,0,1999.0,0,0
2001,10170,0,2,17,SR-156,6.0,0,0,1994.0,0,0
2001,10170,0,2,17,SR-156,6.0,0,1,1996.0,0,0
2001,10170,0,2,17,SR-156,6.0,0,0,1992.0,0,0
