YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1991,10220,0,4,23,260,36.0,0,0,1986.0,0,0
1991,10220,0,4,23,260,36.0,0,0,1980.0,1,0
1991,10221,0,3,14,I85,935.0,0,0,1979.0,1,1
1991,10222,0,1,2,1923,1.0,0,0,1978.0,1,0
1991,10223,0,2,16,372,7.0,0,0,1989.0,0,0
1991,10224,0,1,16,I285,393.0,0,0,1986.0,0,0
1991,10225,0,3,24,635,7.0,0,0,1988.0,1,1
1991,10225,0,3,24,635,7.0,0,0,1988.0,0,0
1991,10226,0,3,13,254,85.0,0,0,1982.0,1,1
1991,10227,0,1,22,281,40.0,0,0,1981.0,1,0
1991,10228,0,1,15,807,34.0,0,0,1981.0,1,0
1991,10228,0,1,15,807,34.0,0,0,1987.0,0,1
1991,10229,0,2,12,20,104.0,0,0,1988.0,0,0
1991,10229,0,2,12,20,104.0,0,0,1974.0,1,0
1991,10230,0,4,23,SR42,21.0,0,0,1989.0,1,1
1991,10231,0,5,11,4455,12.0,0,0,1988.0,0,0
1991,10231,0,5,11,4455,12.0,0,0,1990.0,1,0
1991,10232,0,3,6,SR8,12.0,0,0,1981.0,1,0
1991,10233,0,3,9,910,4.0,0,0,1983.0,1,0
1991,10234,0,3,14,2109,1.0,0,0,1984.0,1,0
1991,10235,1,2,22,SR22,191.0,0,0,1978.0,0,0
1991,10236,0,3,16,32,140.0,0,0,1980.0,1,0
1991,10237,0,3,21,SR3,15.0,0,0,1985.0,0,0
1991,10237,0,3,21,SR3,15.0,0,0,1984.0,1,0
1991,10237,0,3,21,SR3,15.0,0,0,1977.0,0,0
1991,10238,0,3,20,1317,26.0,0,0,1987.0,1,0
1991,10239,0,1,24,SR22,10.0,0,0,1987.0,1,0
1991,10240,0,1,20,104,23.0,0,0,1978.0,0,1
1991,10240,0,1,20,104,23.0,0,0,1984.0,1,0
1991,10241,0,7,14,117,107.0,0,0,1977.0,1,0
1991,10241,0,7,14,117,107.0,0,0,1983.0,0,0
1991,10242,0,1,19,348,89.0,0,0,1978.0,0,0
1991,10242,0,1,19,348,89.0,0,0,1977.0,1,0
1991,10243,0,4,17,92,99.0,0,0,1986.0,1,1
1991,10244,0,2,21,176,89.0,0,0,1989.0,1,1
1991,10245,1,2,21,5094,7.0,0,0,1980.0,1,0
1991,10246,0,8,24,I20,587.0,0,0,1989.0,1,1
1991,10247,0,3,23,353,51.0,0,0,1988.0,0,0
1991,10248,0,2,24,212,69.0,0,0,1986.0,1,1
1991,10249,0,2,18,SR4,153.0,0,0,1984.0,1,1
1991,10249,0,2,18,SR4,153.0,0,0,1975.0,0,0
1991,10250,1,2,24,I95,962.0,0,0,1980.0,0,0
1991,10251,1,3,15,665,15.0,0,0,1983.0,0,0
1991,10252,0,2,12,I95,644.0,0,0,1987.0,0,0
1991,10252,0,2,12,I95,644.0,0,0,1980.0,1,1
1991,10253,0,5,19,SR4,158.0,0,0,1986.0,0,0
1991,10253,0,5,19,SR4,158.0,0,0,1990.0,1,0
1991,10254,0,4,8,92,79.0,0,0,1988.0,1,1
1991,10254,0,4,8,92,79.0,0,0,1985.0,0,0
1991,10254,0,4,8,92,79.0,0,0,1981.0,0,0
1991,10255,0,1,15,228,36.0,0,0,1978.0,1,0
1991,10255,0,1,15,228,36.0,0,0,1984.0,0,0
1991,10256,0,3,11,SR87,60.0,0,0,1985.0,3,0
1991,10257,0,5,11,SR15,175.0,0,0,1989.0,0,0
1991,10257,0,5,11,SR15,175.0,0,0,1987.0,1,0
1991,10258,0,1,3,SR520,42.0,0,0,1987.0,0,0
1991,10259,0,2,18,234,211.0,0,0,1975.0,1,0
1991,10259,0,2,18,234,211.0,0,0,1987.0,0,0
1991,10260,0,2,23,139,13.0,0,0,1986.0,0,0
1991,10260,0,2,23,139,13.0,0,0,1978.0,1,0
1991,10261,1,2,21,60,269.0,0,0,1984.0,0,0
1991,10261,1,2,21,60,269.0,0,0,1986.0,1,0
1991,10262,0,3,14,140,95.0,0,0,1967.0,0,0
1991,10262,0,3,14,140,95.0,0,0,1981.0,1,1
1991,10263,0,3,15,32,11.0,0,0,1976.0,0,0
1991,10263,0,3,15,32,11.0,0,0,1982.0,1,0
1991,10264,0,3,21,87,20.0,0,0,1991.0,1,0
1991,10264,0,3,21,87,20.0,0,0,1989.0,1,0
1991,10266,0,2,6,4156,0.0,0,0,1982.0,1,0
1991,10266,0,2,6,4156,0.0,0,0,1979.0,0,0
1991,10267,0,7,11,17,2.0,0,0,1989.0,1,1
1991,10268,0,1,2,193,16.0,0,0,1980.0,1,0
1991,10269,0,3,13,SR10,114.0,0,0,1975.0,1,1
1991,10270,0,5,21,30,173.0,0,0,1984.0,0,0
1991,10270,0,5,21,30,173.0,0,0,1987.0,1,0
1991,10271,0,3,22,SR38,4.0,0,0,1985.0,1,0
1991,10271,0,3,22,SR38,4.0,0,0,1986.0,2,0
1991,10272,0,2,1,SR35,30.0,0,0,1989.0,1,0
1991,10272,0,2,1,SR35,30.0,0,0,1989.0,1,0
1991,10273,0,1,14,361,2.0,0,0,1979.0,1,1
1991,10274,0,6,15,292,6.0,0,0,1989.0,2,0
1991,10274,0,6,15,292,6.0,0,0,1975.0,0,0
1991,10275,1,2,8,I85,1471.0,0,0,1974.0,0,1
1991,10275,1,2,8,I85,1471.0,0,0,1977.0,1,0
1991,10276,1,2,21,591,57.0,0,0,1976.0,1,1
1991,10277,0,1,20,193,71.0,0,0,1966.0,1,0
1991,10278,0,3,19,46,115.0,0,0,1982.0,1,0
1991,10279,1,2,21,I75,2488.0,0,0,1979.0,1,0
1991,10280,0,3,19,I20,810.0,0,0,1988.0,1,0
1991,10281,0,3,12,234,203.0,0,0,1991.0,1,1
1991,10282,0,4,8,SR520BU,40.0,0,0,1987.0,0,0
1991,10282,0,4,8,SR520BU,40.0,0,0,1977.0,1,1
1991,10283,3,5,14,I20,833.0,0,0,1979.0,0,0
1991,10283,3,5,14,I20,833.0,0,0,1988.0,1,0
1991,10284,0,2,21,772,38.0,0,0,1986.0,1,1
1991,10285,0,2,12,SR520,221.0,0,0,1990.0,1,0
1991,10286,0,3,19,592,9.0,0,0,1988.0,0,0
1991,10286,0,3,19,592,9.0,0,0,1983.0,1,0
1991,10286,0,3,19,592,9.0,0,0,1990.0,0,0
1991,10287,0,1,13,52,238.0,0,0,1980.0,2,0
1991,10287,0,1,13,52,238.0,0,0,1984.0,0,0
1991,10288,0,2,24,SR520,82.0,0,0,1986.0,2,0
1991,10288,0,2,24,SR520,82.0,0,0,1990.0,0,0
1991,10289,0,1,21,247,4.0,0,0,1975.0,1,1
1991,10290,0,3,20,226,5.0,0,0,1974.0,1,1
1991,10291,0,1,1,142,13.0,0,0,1982.0,1,0
1991,10292,0,2,2,166,237.0,0,0,1972.0,0,0
1991,10292,0,2,2,166,237.0,0,0,1974.0,1,1
1991,10293,0,2,6,SR1BU,28.0,0,0,1975.0,1,0
1991,10294,0,2,9,54,147.0,0,0,1976.0,2,0
1991,10295,1,2,21,920,5.0,0,0,1990.0,0,0
1991,10295,1,2,21,920,5.0,0,0,1978.0,1,0
1991,10296,1,2,19,145,79.0,0,0,1991.0,1,1
1991,10296,1,2,19,145,79.0,0,0,1988.0,0,0
1991,10297,0,2,15,SR8,62.0,0,0,1989.0,1,1
