YEAR,ST_CASE,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1982,10162,3,17,369,138.0,0,0,1981.0,0,0
1982,10162,3,17,369,138.0,0,0,1975.0,1,0
1982,10163,5,4,16,81.0,0,0,1974.0,1,1
1982,10163,5,4,16,81.0,0,0,1979.0,0,0
1982,10165,2,3,20,57.0,0,0,1973.0,1,1
1982,10166,2,24,133,91.0,0,0,1970.0,1,0
1982,10167,7,17,RAGSDALERD,38944.0,0,0,1979.0,0,0
1982,10167,7,17,RAGSDALERD,38944.0,0,0,1971.0,1,0
1982,10168,6,17,98,160.0,0,0,1979.0,3,0
1982,10169,4,21,746,38944.0,0,0,1969.0,1,1
1982,10170,2,11,OLDPERKINS,38944.0,0,0,1963.0,1,1
1982,10171,2,21,1,496.0,0,0,1973.0,1,0
1982,10172,2,15,LAKESIDEDR,38944.0,0,0,1977.0,0,0
1982,10173,2,24,ABERCORNST,38944.0,0,0,1980.0,0,1
1982,10173,2,24,ABERCORNST,38944.0,0,0,1981.0,1,0
1982,10174,5,20,23,117.0,0,0,1973.0,1,1
1982,10175,4,23,402RAMP,445.0,0,0,1975.0,1,0
1982,10176,66,8,236,44.0,1,0,1971.0,1,0
1982,10176,66,8,236,44.0,1,0,1979.0,0,0
1982,10177,2,17,MTZIONRD,38944.0,0,0,1979.0,1,1
1982,10177,2,17,MTZIONRD,38944.0,0,0,1971.0,0,0
1982,10177,2,17,MTZIONRD,38944.0,0,0,1974.0,0,0
1982,10178,4,5,GA003,12.0,0,0,1976.0,1,0
1982,10179,2,23,HWY124,135.0,0,0,1968.0,1,1
1982,10180,2,10,54,28.0,0,0,1975.0,1,1
1982,10181,2,2,357,52.0,0,0,1970.0,2,0
1982,10182,2,3,EBCHCSWY,38944.0,0,0,1971.0,1,0
1982,10183,3,15,DEEPSOUTH,38944.0,0,0,1978.0,0,0
1982,10183,3,15,DEEPSOUTH,38944.0,0,0,1974.0,1,0
1982,10184,2,20,75,38944.0,0,0,1979.0,1,0
1982,10185,2,14,141,707.0,0,0,1973.0,1,0
1982,10186,2,20,8,38944.0,0,0,1982.0,1,1
1982,10186,2,20,8,38944.0,0,0,1979.0,0,0
1982,10187,7,16,GA25,14.0,0,2,1978.0,0,0
1982,10188,3,9,49,78.0,0,0,1973.0,0,0
1982,10188,3,9,49,78.0,0,0,1968.0,1,0
1982,10189,2,15,814,38944.0,0,0,1975.0,1,0
1982,10189,2,15,814,38944.0,0,0,1979.0,0,0
1982,10190,5,6,31,30.0,0,0,1976.0,0,1
1982,10190,5,6,31,30.0,0,0,1976.0,1,0
1982,10191,5,17,50,147.0,0,0,1977.0,1,0
1982,10192,1,1,96,110.0,0,0,1981.0,1,0
1982,10192,1,1,96,110.0,0,0,1976.0,0,0
1982,10193,5,22,1775,38944.0,0,0,1979.0,1,1
1982,10194,6,14,30,169.0,0,0,1980.0,0,0
1982,10194,6,14,30,169.0,0,0,1978.0,1,0
1982,10195,2,24,16,8.0,0,0,1973.0,1,0
1982,10196,3,10,30,144.0,0,0,1978.0,0,0
1982,10197,1,1,29,38944.0,0,0,1977.0,0,0
1982,10197,1,1,29,38944.0,0,0,1968.0,1,0
1982,10198,1,18,160,11.0,0,0,1979.0,1,1
1982,10199,3,1,220,12.0,0,0,1973.0,1,0
1982,10200,1,23,OAKGROVERD,38944.0,0,0,1982.0,1,0
1982,10201,1,8,137,38944.0,0,0,1979.0,1,0
1982,10202,1,21,CLIFCHURRD,38944.0,0,0,1967.0,1,0
1982,10203,2,16,53CONN,10.0,0,0,1968.0,1,0
1982,10204,3,23,1,147.0,0,0,1973.0,0,0
1982,10204,3,23,1,147.0,0,0,1980.0,1,0
1982,10205,3,13,15,129.0,0,0,1978.0,1,0
1982,10206,2,21,88,38944.0,0,0,1980.0,1,0
1982,10207,1,18,S1618,38944.0,0,0,1976.0,0,0
1982,10207,1,18,S1618,38944.0,0,0,1970.0,1,0
1982,10208,2,10,OGLETHORPE,38944.0,0,0,1973.0,1,0
1982,10209,4,2,405,853.0,0,0,1971.0,0,0
1982,10210,4,1,CRABAPPLER,38944.0,0,0,1967.0,2,1
1982,10211,2,18,MILTONAVES,38944.0,0,0,1963.0,2,0
1982,10211,2,18,MILTONAVES,38944.0,0,0,1970.0,0,0
1982,10211,2,18,MILTONAVES,38944.0,0,0,1979.0,0,0
1982,10212,1,24,41,26.0,0,0,1975.0,1,1
1982,10213,2,12,SECONDST,38944.0,0,0,1969.0,1,0
1982,10213,2,12,SECONDST,38944.0,0,0,1972.0,0,0
1982,10214,2,9,4,239.0,0,0,1981.0,0,0
1982,10215,1,22,WSANDTOWN,38944.0,0,0,1955.0,1,0
1982,10216,1,21,285,38944.0,0,0,1974.0,0,0
1982,10216,1,21,285,38944.0,0,0,1976.0,2,0
1982,10217,2,21,90,35.0,0,0,1980.0,0,0
1982,10217,2,21,90,35.0,0,0,1981.0,1,0
1982,10218,5,10,108,107.0,0,0,1973.0,1,0
1982,10219,2,24,106,196.0,0,2,1969.0,0,0
1982,10220,1,16,367,38944.0,0,2,1975.0,0,0
1982,10221,1,1,493,38944.0,0,0,1972.0,1,0
1982,10222,2,16,55,163.0,0,0,1970.0,1,1
1982,10223,2,7,28,107.0,0,0,1972.0,1,0
1982,10224,2,19,SHADYRDPLZ,38944.0,0,0,1978.0,0,0
1982,10224,2,19,SHADYRDPLZ,38944.0,0,0,1971.0,1,0
1982,10225,3,15,GA27,38944.0,0,0,1968.0,1,0
1982,10226,2,17,DRAYTONST,38944.0,0,0,1978.0,1,0
1982,10227,3,16,75,3216.0,0,0,1982.0,1,0
1982,10228,3,2,1,19.0,0,0,1982.0,1,0
1982,10228,3,2,1,19.0,0,0,1964.0,0,0
1982,10229,5,11,GA20,38944.0,0,0,1974.0,1,1
1982,10230,2,14,37THST,38944.0,0,0,1979.0,1,0
1982,10231,4,15,95,911.0,0,0,1976.0,1,1
1982,10231,4,15,95,911.0,0,0,1979.0,0,0
1982,10232,1,22,S925,38944.0,0,0,1977.0,0,0
1982,10233,2,5,309,30.0,0,0,1979.0,1,1
1982,10234,1,6,75,819.0,0,0,1982.0,1,0
1982,10234,1,6,75,819.0,0,0,1980.0,0,0
1982,10235,5,18,11,139.0,0,0,1981.0,2,0
1982,10235,5,18,11,139.0,0,0,1976.0,0,0
1982,10236,4,22,42,230.0,0,0,1971.0,2,0
1982,10237,2,13,WBROADST,38944.0,0,0,1980.0,0,0
1982,10238,2,5,7,93.0,0,0,1979.0,1,0
1982,10238,2,5,7,93.0,0,0,1975.0,1,0
1982,10239,2,21,145,58.0,0,0,1981.0,1,0
1982,10239,2,21,145,58.0,0,0,1979.0,0,1
1982,10240,3,8,RIVERDALER,38944.0,0,0,1981.0,1,1
1982,10241,2,2,MTNINDBLVD,38944.0,0,0,1980.0,0,0
1982,10241,2,2,MTNINDBLVD,38944.0,0,0,1971.0,1,0
1982,10242,2,24,47,96.0,0,0,1978.0,0,0
1982,10242,2,24,47,96.0,0,0,1975.0,1,0
1982,10242,2,24,47,96.0,0,0,1970.0,0,0
1982,10243,1,18,1,22.0,0,0,1975.0,1,1
1982,10244,1,11,22,147.0,0,0,1979.0,1,1
1982,10244,1,11,22,147.0,0,0,1973.0,0,0
1982,10245,4,24,340,22.0,0,0,1970.0,1,0
1982,10245,4,24,340,22.0,0,0,1969.0,2,0
1982,10246,2,18,24,328.0,0,0,1979.0,0,0
1982,10246,2,18,24,328.0,0,0,1972.0,3,0
1982,10247,2,10,75,106.0,0,0,1980.0,1,0
1982,10248,1,21,184,12.0,0,0,1975.0,1,0
1982,10248,1,21,184,12.0,0,0,1976.0,0,0
1982,10249,2,9,75,1011.0,0,0,1979.0,1,1
1982,10250,2,15,SILVERHILL,38944.0,0,0,1980.0,1,0
1982,10251,5,1,1754,38944.0,0,0,1976.0,1,1
1982,10252,3,6,8,38944.0,0,0,1969.0,1,0
1982,10253,6,22,8,46.0,0,0,1972.0,0,0
1982,10253,6,22,8,46.0,0,0,1968.0,1,0
1982,10254,2,22,S1600,38944.0,0,0,1981.0,1,0
1982,10255,1,19,SIXSTREET,38944.0,0,0,1967.0,1,0
1982,10255,1,19,SIXSTREET,38944.0,0,0,1976.0,0,0
1982,10256,1,21,54,38944.0,0,0,1979.0,0,0
1982,10256,1,21,54,38944.0,0,0,1981.0,1,0
1982,10257,2,21,61,138.0,0,0,1953.0,1,0
1982,10257,2,21,61,138.0,0,0,1974.0,0,0
1982,10258,2,14,285,38944.0,0,0,1969.0,0,0
1982,10258,2,14,285,38944.0,0,0,1974.0,1,0
1982,10259,3,19,NORRIS,38944.0,0,0,1973.0,4,1
1982,10260,2,11,4,179.0,0,0,1978.0,0,0
1982,10261,2,10,1,58.0,0,0,1980.0,1,0
1982,10261,2,10,1,58.0,0,0,1978.0,0,0
1982,10262,2,7,360GAAVESW,38944.0,0,0,1981.0,0,0
1982,10262,2,7,360GAAVESW,38944.0,0,0,1979.0,1,0
1982,10263,2,23,VALLEYHILL,38944.0,0,0,1981.0,0,0
1982,10264,1,3,17,174.0,0,0,1979.0,1,0
1982,10265,2,12,WORTHST,38944.0,0,0,1976.0,0,0
1982,10266,2,7,87,25.0,0,0,1976.0,1,1
1982,10267,4,15,655,38944.0,0,0,1979.0,1,1
1982,10268,2,18,510,38944.0,0,0,1978.0,0,0
1982,10268,2,18,510,38944.0,0,0,1977.0,1,0
1982,10269,2,2,S2420,38944.0,0,0,1976.0,1,0
1982,10269,2,2,S2420,38944.0,0,0,1979.0,0,0
1982,10270,2,20,67,25.0,0,0,1977.0,0,0
1982,10270,2,20,67,25.0,0,0,1977.0,1,1
1982,10271,1,14,S1804,38944.0,0,0,1959.0,1,1
1982,10272,4,13,75,101.0,0,0,1974.0,2,0
1982,10272,4,13,75,101.0,0,0,1972.0,0,0
1982,10273,2,8,100,175.0,0,0,1971.0,0,0
1982,10274,1,2,582,38944.0,0,0,1981.0,0,0
1982,10274,1,2,582,38944.0,0,0,1981.0,2,0
1982,10275,5,2,OLDSAVANRD,128.0,0,0,1979.0,0,0
1982,10275,5,2,OLDSAVANRD,128.0,0,0,1977.0,1,0
1982,10275,5,2,OLDSAVANRD,128.0,0,0,1973.0,0,0
1982,10276,2,19,22,122.0,0,0,1972.0,1,0
1982,10277,1,17,32,38944.0,0,0,1970.0,0,0
1982,10277,1,17,32,38944.0,0,0,1980.0,1,0
1982,10278,3,16,27,66.0,0,0,1978.0,1,1
1982,10279,3,15,8,63.0,0,0,1976.0,1,0
1982,10280,3,22,JOHNSONFER,38944.0,0,0,1979.0,0,0
